id;social;sex;date_birth;preferred_name;status;first_name;middle_name;last_name;identification;created_by;created_date;last_modified_by;last_modified_date;del_status
31;587-69-4702;M;2016-06-20 11:49:35;ajacksonu;ACT;Jeffrey;Albert;Jackson;991-13-5675;system;2016-07-12 15:19:03;Albert Jackson;2016-11-10 11:11:26;false
32;485-39-5107;F;2016-08-21 20:09:20;kstonev;ACT;Karen;Kimberly;Stone;128-14-4901;system;2016-08-20 18:13:49;Kimberly Stone;2016-06-08 15:26:37;false
33;889-06-4078;M;2016-02-12 05:43:00;cbanksw;ACT;Ralph;Chris;Banks;888-89-1391;system;2016-02-23 18:57:41;Chris Banks;2016-11-22 03:14:39;false
34;685-09-9711;M;2016-09-15 20:11:28;wyoungx;ACT;Ronald;Walter;Young;565-43-7328;system;2016-05-24 17:59:40;Walter Young;2016-08-29 03:17:16;false
35;592-18-3440;M;2016-03-06 11:09:24;mhughesy;ACT;Andrew;Mark;Hughes;890-89-7550;system;2016-05-09 23:26:13;Mark Hughes;2016-05-08 13:00:16;false
36;968-65-4756;M;2016-03-05 23:14:53;gvasquezz;ACT;Christopher;Gary;Vasquez;970-09-8310;system;2016-01-31 20:48:00;Gary Vasquez;2016-10-03 18:16:45;false
37;982-81-4739;F;2016-09-21 18:07:27;dmeyer10;ACT;Pamela;Doris;Meyer;826-75-9005;system;2016-01-13 03:17:57;Doris Meyer;2016-09-18 01:19:13;false
38;344-07-7944;F;2016-07-29 13:40:16;dporter11;ACT;Helen;Doris;Porter;437-30-1720;system;2016-10-08 02:44:59;Doris Porter;2016-12-19 19:25:40;false
39;543-71-6181;M;2016-07-30 06:25:36;jsanders12;ACT;Nicholas;Juan;Sanders;769-76-1860;system;2016-03-01 19:34:40;Juan Sanders;2016-03-26 10:39:43;false
40;225-80-7315;M;2016-07-31 03:31:07;tbradley13;ACT;Victor;Thomas;Bradley;785-20-0757;system;2016-01-17 21:26:51;Thomas Bradley;2016-08-14 02:16:29;false
41;383-30-9803;M;2016-06-11 01:07:21;wwillis14;ACT;Shawn;William;Willis;925-56-9753;system;2016-11-26 10:48:50;William Willis;2016-05-17 21:53:18;false
42;929-38-8873;F;2016-09-13 06:56:59;rwilson15;ACT;Carol;Rose;Wilson;763-48-1976;system;2016-11-23 06:36:53;Rose Wilson;2016-07-21 10:33:22;false
43;811-19-9942;F;2016-02-14 19:10:37;ehayes16;ACT;Nancy;Elizabeth;Hayes;281-82-4354;system;2016-10-17 21:14:32;Elizabeth Hayes;2016-09-21 22:37:33;false
44;344-96-0259;M;2016-11-03 04:13:09;creid17;ACT;Carl;Clarence;Reid;849-54-8277;system;2016-02-14 09:11:13;Clarence Reid;2016-08-30 06:20:51;false
45;913-71-4219;M;2016-05-29 19:12:52;frodriguez18;ACT;Dennis;Fred;Rodriguez;949-23-2312;system;2016-05-02 21:21:13;Fred Rodriguez;2016-01-27 10:46:51;false
46;559-71-5489;F;2016-03-29 00:26:33;kfrazier19;ACT;Michelle;Karen;Frazier;370-17-8976;system;2016-09-11 13:23:44;Karen Frazier;2016-12-26 07:33:58;false
47;474-78-7289;F;2016-09-10 20:38:24;dshaw1a;ACT;Julie;Deborah;Shaw;452-12-2258;system;2016-03-03 03:36:50;Deborah Shaw;2016-12-27 04:59:38;false
48;243-99-9243;M;2016-03-14 22:01:03;smorris1b;ACT;Brian;Stephen;Morris;486-80-0515;system;2016-01-29 11:42:50;Stephen Morris;2016-04-18 10:27:53;false
49;877-02-9968;F;2016-06-24 15:22:50;tcampbell1c;ACT;Rose;Theresa;Campbell;460-93-9332;system;2016-01-08 20:37:55;Theresa Campbell;2016-04-01 16:16:20;false
50;578-56-0986;M;2016-11-05 01:07:37;bwood1d;ACT;Jesse;Bruce;Wood;775-94-1435;system;2016-08-27 07:47:53;Bruce Wood;2016-03-03 13:59:24;false
51;426-87-3529;M;2016-11-24 19:06:11;aaustin1e;ACT;Jack;Andrew;Austin;955-12-5102;system;2016-06-14 13:04:33;Andrew Austin;2016-10-16 01:39:01;false
52;975-93-8236;F;2016-09-14 06:33:58;clynch1f;ACT;Sarah;Christina;Lynch;999-36-5575;system;2016-03-11 14:31:34;Christina Lynch;2016-09-29 11:34:35;false
53;388-78-7213;F;2016-06-06 20:36:43;banderson1g;ACT;Sara;Bonnie;Anderson;933-64-4993;system;2016-09-21 04:25:17;Bonnie Anderson;2016-11-25 13:15:01;false
54;146-84-1960;F;2016-05-10 10:40:26;jgonzalez1h;ACT;Margaret;Jessica;Gonzalez;217-54-7790;system;2016-06-12 04:01:25;Jessica Gonzalez;2016-07-25 20:22:44;false
55;147-32-2724;F;2016-03-09 16:30:45;tbutler1i;ACT;Sara;Theresa;Butler;534-46-8303;system;2016-09-10 14:33:21;Theresa Butler;2016-02-14 19:55:17;false
56;194-67-6449;M;2016-09-16 15:06:08;dsullivan1j;ACT;John;Douglas;Sullivan;101-83-9512;system;2016-01-07 04:53:23;Douglas Sullivan;2016-01-14 07:06:34;false
57;842-30-2851;M;2016-04-02 17:08:50;rbishop1k;ACT;Anthony;Ryan;Bishop;363-10-3308;system;2016-03-26 23:53:09;Ryan Bishop;2016-08-10 20:28:46;false
58;449-63-2954;M;2016-12-04 00:12:55;rpeters1l;ACT;Ernest;Robert;Peters;176-97-2203;system;2016-03-04 17:22:20;Robert Peters;2016-10-04 16:28:58;false
59;139-83-4805;M;2016-09-26 20:22:21;jlopez1m;ACT;Christopher;Justin;Lopez;959-35-3197;system;2016-10-09 12:26:25;Justin Lopez;2016-12-11 13:11:20;false
60;790-98-4512;M;2016-01-19 19:20:57;chanson1n;ACT;Gary;Carl;Hanson;147-32-4135;system;2016-04-27 20:52:20;Carl Hanson;2016-08-06 13:56:17;false
61;869-45-3510;F;2016-04-02 22:08:39;smorgan1o;ACT;Cynthia;Sara;Morgan;340-05-2428;system;2016-08-03 13:07:27;Sara Morgan;2016-07-09 20:29:33;false
62;838-98-0883;M;2016-03-11 22:40:20;mwelch1p;ACT;Frank;Mark;Welch;806-81-1762;system;2016-01-03 22:26:09;Mark Welch;2016-10-24 11:09:33;false
63;876-09-0841;M;2016-11-04 22:47:23;jriley1q;ACT;Antonio;Jimmy;Riley;284-70-2310;system;2016-12-13 15:32:18;Jimmy Riley;2016-03-08 04:36:34;false
64;141-45-1422;F;2016-10-06 07:33:49;egomez1r;ACT;Kelly;Elizabeth;Gomez;517-31-9209;system;2016-06-26 15:59:47;Elizabeth Gomez;2016-06-11 00:25:29;false
65;941-28-1383;M;2016-05-06 16:02:42;aoliver1s;ACT;Louis;Antonio;Oliver;995-56-0443;system;2016-09-24 11:02:31;Antonio Oliver;2016-03-14 07:17:56;false
66;948-72-3877;M;2016-08-30 00:41:30;cdunn1t;ACT;Brian;Christopher;Dunn;645-60-4949;system;2016-07-25 18:33:39;Christopher Dunn;2016-01-02 13:06:59;false
67;851-02-0321;M;2016-06-13 21:47:27;aalexander1u;ACT;James;Adam;Alexander;771-97-2190;system;2016-12-22 22:50:43;Adam Alexander;2016-11-01 19:26:48;false
68;540-53-4251;M;2016-08-05 09:06:23;ghernandez1v;ACT;Carl;Gary;Hernandez;954-22-7262;system;2016-06-10 23:15:29;Gary Hernandez;2016-05-10 02:26:57;false
69;185-77-6848;F;2016-08-05 11:52:30;kcole1w;ACT;Sandra;Kimberly;Cole;582-43-3912;system;2016-04-25 19:33:03;Kimberly Cole;2016-10-05 10:18:27;false
70;684-64-8032;F;2016-03-15 14:46:30;ialexander1x;ACT;Betty;Irene;Alexander;670-53-5266;system;2016-04-23 09:19:34;Irene Alexander;2016-09-26 10:39:46;false
71;560-32-3437;F;2016-12-08 17:39:59;rpeters1y;ACT;Elizabeth;Rachel;Peters;838-23-1054;system;2016-11-27 05:03:49;Rachel Peters;2016-03-17 15:30:36;false
72;201-89-2172;M;2016-09-27 07:47:27;jkelly1z;ACT;Victor;Jason;Kelly;400-62-8272;system;2016-03-25 16:42:50;Jason Kelly;2016-05-13 14:00:28;false
73;634-34-6810;F;2016-10-20 13:37:13;nhawkins20;ACT;Jacqueline;Nancy;Hawkins;109-74-7139;system;2016-07-24 00:31:53;Nancy Hawkins;2016-04-27 16:10:34;false
74;847-80-1915;M;2016-02-06 02:08:11;dsimpson21;ACT;Dennis;Douglas;Simpson;853-62-6747;system;2016-06-29 08:20:14;Douglas Simpson;2016-08-11 05:32:19;false
75;157-96-8767;F;2016-10-20 21:23:17;ddunn22;ACT;Stephanie;Diane;Dunn;995-22-6480;system;2016-01-27 05:14:07;Diane Dunn;2016-08-18 20:30:39;false
76;445-64-9611;M;2016-06-30 02:08:17;wferguson23;ACT;Keith;William;Ferguson;981-82-0718;system;2016-10-29 18:18:16;William Ferguson;2016-02-07 11:15:44;false
77;689-60-8366;M;2016-04-21 10:35:02;elynch24;ACT;David;Eric;Lynch;242-90-7633;system;2016-05-03 01:11:15;Eric Lynch;2016-05-27 17:43:04;false
78;364-39-1158;F;2016-08-22 14:22:11;jrichardson25;ACT;Betty;Jessica;Richardson;968-61-9154;system;2016-12-27 09:26:55;Jessica Richardson;2016-11-22 07:39:36;false
79;599-78-2779;M;2016-05-26 15:09:59;amcdonald26;ACT;Joseph;Aaron;Mcdonald;974-12-7532;system;2016-04-14 12:44:12;Aaron Mcdonald;2016-04-14 04:09:22;false
80;362-38-2574;M;2016-08-16 22:05:51;chawkins27;ACT;Juan;Clarence;Hawkins;566-64-2702;system;2016-03-20 13:17:57;Clarence Hawkins;2016-09-11 17:46:19;false
81;828-38-0873;F;2016-05-13 22:43:21;mporter28;ACT;Carolyn;Marilyn;Porter;716-05-9622;system;2016-03-07 13:01:16;Marilyn Porter;2016-01-25 17:48:06;false
82;360-31-5733;M;2016-03-23 01:11:20;ckelley29;ACT;Todd;Charles;Kelley;386-21-9421;system;2016-12-28 13:05:39;Charles Kelley;2016-10-13 01:59:05;false
83;389-27-3201;F;2016-01-13 07:46:28;jrichardson2a;ACT;Jacqueline;Julia;Richardson;576-60-7709;system;2016-10-21 03:38:48;Julia Richardson;2016-12-27 16:17:01;false
84;787-93-8202;F;2016-09-10 21:23:01;rwagner2b;ACT;Judith;Rose;Wagner;913-67-7375;system;2016-01-03 18:25:02;Rose Wagner;2016-11-09 14:49:04;false
85;952-00-2056;M;2016-05-03 12:51:52;srichards2c;ACT;Robert;Sean;Richards;359-09-9279;system;2016-10-26 06:54:04;Sean Richards;2016-03-16 00:39:48;false
86;279-55-6502;M;2016-05-13 23:29:27;gowens2d;ACT;Todd;Gary;Owens;110-00-8719;system;2016-09-01 14:58:03;Gary Owens;2016-10-13 10:40:46;false
87;423-82-3567;F;2016-03-02 11:49:51;cadams2e;ACT;Betty;Catherine;Adams;476-16-2219;system;2016-04-03 02:01:49;Catherine Adams;2016-07-14 07:02:41;false
88;101-62-9589;M;2016-01-22 19:13:16;rharrison2f;ACT;Stephen;Roger;Harrison;756-42-6365;system;2016-01-22 08:28:49;Roger Harrison;2016-02-16 19:57:39;false
89;115-93-8693;M;2016-05-19 18:30:23;bhart2g;ACT;Donald;Billy;Hart;826-42-8246;system;2016-04-29 02:53:21;Billy Hart;2016-07-24 05:39:38;false
90;677-01-0454;M;2016-09-17 02:05:41;solson2h;ACT;Harold;Steve;Olson;719-68-1917;system;2016-06-05 06:26:19;Steve Olson;2016-08-23 19:07:16;false
91;197-95-4125;F;2016-06-28 00:02:43;mlittle2i;ACT;Joan;Mary;Little;917-42-8401;system;2016-01-05 13:39:15;Mary Little;2016-05-12 08:39:53;false
92;846-23-4408;F;2016-10-02 13:10:33;jwhite2j;ACT;Amy;Julie;White;307-38-9249;system;2016-04-28 08:31:50;Julie White;2016-06-11 01:05:43;false
93;732-18-4234;M;2016-08-12 17:00:08;dchapman2k;ACT;Steven;Dennis;Chapman;858-87-0788;system;2016-11-29 13:53:27;Dennis Chapman;2016-03-17 06:51:33;false
94;841-47-9756;M;2015-12-29 00:57:12;sgomez2l;ACT;Antonio;Steven;Gomez;711-77-9492;system;2016-07-03 04:55:10;Steven Gomez;2016-07-26 18:52:06;false
95;482-62-0663;M;2016-04-10 01:02:42;dgutierrez2m;ACT;Justin;Daniel;Gutierrez;424-45-9829;system;2016-07-30 23:34:19;Daniel Gutierrez;2016-10-24 11:12:09;false
96;881-04-1655;M;2016-12-21 22:14:47;darnold2n;ACT;Steven;David;Arnold;664-76-9207;system;2016-03-14 23:12:20;David Arnold;2016-10-23 19:09:50;false
97;935-38-8409;F;2016-07-24 12:18:09;lfernandez2o;ACT;Jennifer;Lois;Fernandez;107-78-7273;system;2016-05-16 01:41:56;Lois Fernandez;2016-09-29 00:31:12;false
98;621-41-1760;F;2016-01-02 18:22:18;wreynolds2p;ACT;Rose;Wanda;Reynolds;151-03-9595;system;2016-04-07 07:59:47;Wanda Reynolds;2016-12-18 10:39:47;false
99;841-17-7740;M;2016-12-24 08:19:32;pday2q;ACT;Frank;Phillip;Day;164-74-6091;system;2016-03-16 00:48:57;Phillip Day;2016-08-28 10:13:27;false
100;144-26-2512;F;2016-03-15 16:22:23;ewheeler2r;ACT;Tammy;Evelyn;Wheeler;323-88-4463;system;2016-02-11 21:05:15;Evelyn Wheeler;2016-02-17 19:18:13;false
