id;full_name;relationship;phone;alt_phone;email;address;notes;status;address_two;city;state;zip;chart_id;type_patient_contact_types_id;created_by;created_date;last_modified_by;last_modified_date;del_status
17;Sean Jordan;Parent;1-(937)869-8804;1-(516)279-0284;drodriguezg@soup.io;8121 Schurz Terrace;mauris ullamcorper purus sit amet nulla;ACT;Carey;Dayton;Ohio;45408;252;4;system;2016-09-04 10:41:54;Douglas Rodriguez;2016-10-22 11:45:56;false
18;Lois Little;Probation Officer;1-(757)683-6501;1-(801)639-9223;joliverh@ca.gov;9 Weeping Birch Center;dolor quis odio consequat varius integer ac leo pellentesque;ACT;Thierer;Newport News;Virginia;23605;205;1;system;2016-02-23 04:59:47;Joe Oliver;2016-07-12 21:47:08;false
19;Gerald Day;Sponsor;1-(407)476-9433;1-(313)492-8368;jmorgani@ed.gov;562 Hoffman Parkway;lacinia nisi venenatis tristique fusce;ACT;Columbus;Orlando;Florida;32885;1;4;system;2016-04-17 10:15:26;Justin Morgan;2016-03-05 00:24:57;false
20;Diane Stone;Spouse/Partner;1-(210)699-0560;1-(202)875-2233;mcarterj@timesonline.co.uk;71 Reindahl Pass;in hac habitasse platea;ACT;Service;San Antonio;Texas;78225;36;1;system;2016-04-19 04:57:55;Martha Carter;2016-03-19 15:42:59;false
21;Tina Kelley;Brother/Sister;1-(812)545-8383;1-(312)775-6308;sstephensk@un.org;4 Manley Place;ultrices vel augue vestibulum ante ipsum primis in faucibus;ACT;Clove;Bloomington;Indiana;47405;158;2;system;2016-12-20 03:57:13;Sarah Stephens;2016-02-16 05:11:52;false
22;Kathryn Robinson;Child;1-(210)983-3114;1-(202)652-8445;belliottl@smh.com.au;5 Forest Run Center;risus praesent lectus vestibulum quam sapien varius ut blandit;ACT;Golf Course;San Antonio;Texas;78285;105;4;system;2016-05-25 04:39:32;Brandon Elliott;2016-02-06 05:29:46;false
23;Wayne Wright;Friend;1-(404)439-2981;1-(561)334-1707;jharrisonm@delicious.com;02 Monica Alley;in leo maecenas pulvinar lobortis est phasellus sit;ACT;Nevada;Atlanta;Georgia;30380;257;4;system;2016-02-28 03:48:15;Jessica Harrison;2016-04-24 11:02:49;false
24;Joan Richardson;Grandparent;1-(573)908-2021;1-(915)683-5726;pgrayn@ox.ac.uk;40 Del Sol Street;lectus in quam;ACT;Cherokee;Jefferson City;Missouri;65105;245;4;system;2016-10-25 09:57:05;Philip Gray;2016-10-02 08:06:35;false
25;Peter Black;Guardian;1-(915)164-6668;1-(505)843-9503;rperryo@about.me;48557 Sugar Drive;at dolor quis odio consequat varius integer;ACT;Helena;El Paso;Texas;79923;64;2;system;2016-04-19 21:42:56;Roger Perry;2016-01-02 23:39:05;false
26;Denise Carroll;Other;1-(253)327-0141;1-(907)304-4950;llawsonp@imdb.com;5831 Miller Hill;mollis molestie lorem quisque ut erat curabitur gravida;ACT;Riverside;Seattle;Washington;98121;70;2;system;2016-04-09 01:41:15;Lisa Lawson;2016-11-17 05:47:03;false
27;Rebecca Warren;Parent;1-(202)769-0158;1-(614)614-2147;aperezq@mozilla.org;5 Corben Parkway;nulla ut erat id;ACT;Knutson;Washington;District of Columbia;20430;110;1;system;2015-12-30 21:06:32;Albert Perez;2016-04-09 10:31:54;false
28;Lillian Kim;Probation Officer;1-(502)926-2664;1-(502)213-9163;ksanchezr@fda.gov;53 Fieldstone Hill;ultrices erat tortor sollicitudin mi sit amet lobortis;ACT;Golden Leaf;Louisville;Kentucky;40256;258;1;system;2016-10-06 12:30:31;Katherine Sanchez;2016-12-18 05:52:52;false
29;Ronald Wells;Sponsor;1-(316)937-2851;1-(615)153-8595;jjacksons@twitpic.com;9 Dahle Lane;ultricies eu nibh quisque id justo sit amet;ACT;Evergreen;Wichita;Kansas;67220;288;3;system;2016-02-12 21:15:22;Judith Jackson;2016-04-24 12:26:03;false
30;Jose Young;Spouse/Partner;1-(813)787-0046;1-(402)705-3415;areyest@live.com;79322 Schmedeman Trail;at vulputate vitae nisl;ACT;Hoepker;Tampa;Florida;33605;117;3;system;2016-07-24 11:45:13;Arthur Reyes;2016-08-12 20:29:59;false
31;Tammy Carroll;Brother/Sister;1-(904)122-1974;1-(808)604-8320;aadamsu@washington.edu;14001 Di Loreto Road;natoque penatibus et magnis dis parturient montes;ACT;Lakewood Gardens;Jacksonville;Florida;32204;22;2;system;2016-02-12 10:28:05;Albert Adams;2016-01-28 12:55:57;false
32;Frank Weaver;Child;1-(614)411-2485;1-(602)654-1555;mbanksv@ocn.ne.jp;359 Oriole Center;lectus vestibulum quam sapien;ACT;Coleman;Columbus;Ohio;43284;196;4;system;2016-07-16 01:02:32;Marie Banks;2016-06-17 21:22:41;false
33;Eric West;Friend;1-(330)233-3585;1-(334)188-8466;bfoxw@php.net;07 Fairview Drive;arcu adipiscing molestie hendrerit at vulputate vitae nisl;ACT;Dawn;Canton;Ohio;44710;125;3;system;2016-11-01 04:10:34;Billy Fox;2016-01-15 15:01:27;false
34;George Moreno;Grandparent;1-(203)389-0483;1-(425)307-3747;jbryantx@mapy.cz;1 Kipling Trail;vel ipsum praesent blandit;ACT;Manley;Fairfield;Connecticut;06825;53;4;system;2016-08-08 09:56:26;Janice Bryant;2016-02-09 17:48:44;false
35;Richard Campbell;Guardian;1-(304)751-6281;1-(213)803-8605;tmorenoy@ihg.com;2199 Melody Road;molestie sed justo pellentesque viverra pede ac diam cras pellentesque;ACT;Forest;Huntington;West Virginia;25721;40;3;system;2016-11-23 20:31:18;Tina Moreno;2016-11-27 15:29:48;false
36;Catherine Lawrence;Other;1-(908)772-2617;1-(513)284-4164;afullerz@google.com.hk;5 Prentice Pass;penatibus et magnis dis parturient montes nascetur ridiculus mus;ACT;Shelley;Elizabeth;New Jersey;07208;100;3;system;2016-05-23 13:26:45;Alice Fuller;2016-01-25 01:28:03;false
37;Jeffrey Foster;Parent;1-(646)235-6462;1-(910)696-4134;pward10@xing.com;49603 Talmadge Way;fermentum justo nec condimentum neque sapien placerat;ACT;Logan;Brooklyn;New York;11205;187;4;system;2016-01-19 22:28:57;Paula Ward;2016-05-10 08:27:03;false
38;Nancy Andrews;Probation Officer;1-(915)224-0693;1-(320)283-6822;lmccoy11@mozilla.com;38585 Ruskin Place;purus eu magna vulputate luctus cum sociis natoque penatibus;ACT;Mayer;El Paso;Texas;88541;35;4;system;2016-08-28 07:33:49;Lisa Mccoy;2016-12-19 08:25:35;false
39;Ryan Peters;Sponsor;1-(586)581-0660;1-(803)366-0680;kcollins12@mozilla.com;2582 Melody Court;luctus ultricies eu nibh quisque;ACT;Crescent Oaks;Detroit;Michigan;48206;91;4;system;2016-09-24 19:25:41;Kevin Collins;2016-10-29 15:26:58;false
40;David Rodriguez;Spouse/Partner;1-(904)801-5816;1-(805)675-6397;tromero13@usda.gov;51239 Mccormick Plaza;orci luctus et ultrices;ACT;Monument;Jacksonville;Florida;32209;113;1;system;2016-06-23 07:45:08;Terry Romero;2016-04-28 12:11:08;false
41;Robert Wagner;Brother/Sister;1-(860)842-9366;1-(917)631-3413;shayes14@psu.edu;1 Eliot Hill;quam turpis adipiscing lorem vitae mattis nibh ligula;ACT;Lerdahl;Hartford;Connecticut;06160;284;1;system;2016-08-08 20:59:44;Shawn Hayes;2016-11-20 11:03:27;false
42;Antonio Cook;Child;1-(407)448-7304;1-(407)882-0506;ralexander15@hp.com;386 Toban Alley;odio justo sollicitudin ut suscipit a feugiat;ACT;Starling;Orlando;Florida;32885;24;1;system;2016-10-28 03:28:45;Roy Alexander;2016-02-22 06:04:46;false
43;Patricia Sims;Friend;1-(571)933-4660;1-(865)484-1235;dking16@unesco.org;4598 Colorado Way;at vulputate vitae nisl aenean lectus pellentesque eget nunc;ACT;Elmside;Arlington;Virginia;22225;156;2;system;2016-02-01 21:53:35;Deborah King;2016-06-07 17:03:47;false
44;Eric Snyder;Grandparent;1-(912)938-7648;1-(772)602-8546;rhill17@google.com.br;18 Upham Avenue;cum sociis natoque penatibus et magnis dis;ACT;Londonderry;Savannah;Georgia;31416;22;1;system;2016-12-05 20:40:37;Robert Hill;2016-09-16 03:42:40;false
45;Julie Spencer;Guardian;1-(502)548-6225;1-(915)613-9188;cmatthews18@craigslist.org;20505 Randy Park;ac est lacinia nisi venenatis tristique fusce congue diam id;ACT;Roxbury;Louisville;Kentucky;40205;83;3;system;2016-10-25 11:59:16;Charles Matthews;2016-04-15 03:14:05;false
46;Evelyn Barnes;Other;1-(217)873-4902;1-(972)521-3351;whenry19@wikispaces.com;76988 Eagan Street;odio donec vitae nisi nam ultrices libero non mattis;ACT;Fuller;Decatur;Illinois;62525;292;3;system;2016-08-27 15:32:45;Wayne Henry;2016-03-24 13:27:13;false
47;Sarah Kennedy;Parent;1-(915)399-9059;1-(850)592-2014;ballen1a@artisteer.com;94205 Cascade Crossing;nulla ac enim in tempor turpis nec;ACT;Grim;El Paso;Texas;79916;270;3;system;2016-05-26 13:20:02;Benjamin Allen;2016-05-18 06:15:33;false
48;Willie Ferguson;Probation Officer;1-(304)858-3922;1-(617)901-5004;jkim1b@bizjournals.com;67454 Summerview Park;mi nulla ac enim in tempor turpis nec;ACT;Amoth;Charleston;West Virginia;25331;110;2;system;2016-12-12 18:54:33;Jessica Kim;2016-05-25 01:06:38;false
49;Brian Miller;Sponsor;1-(218)484-9087;1-(202)112-4437;dday1c@bloomberg.com;7 Hoffman Avenue;eleifend pede libero quis orci nullam molestie nibh in;ACT;Di Loreto;Duluth;Minnesota;55811;224;2;system;2016-06-17 21:20:52;Donald Day;2016-04-09 13:57:14;false
50;Bonnie Diaz;Spouse/Partner;1-(225)694-4336;1-(720)365-5065;vgreene1d@ed.gov;82030 6th Avenue;rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus;ACT;Esker;Baton Rouge;Louisiana;70810;133;3;system;2016-08-23 06:10:47;Virginia Greene;2016-01-03 05:51:19;false
51;Melissa Franklin;Brother/Sister;1-(210)824-6407;1-(615)455-8561;dmorales1e@xrea.com;596 Garrison Pass;augue a suscipit;ACT;Thierer;San Antonio;Texas;78245;44;2;system;2016-07-25 19:37:48;Douglas Morales;2016-07-19 23:23:38;false
52;Aaron Walker;Child;1-(717)771-7293;1-(502)431-6898;wcole1f@sina.com.cn;09987 Dunning Pass;velit nec nisi vulputate;ACT;Shoshone;Harrisburg;Pennsylvania;17126;162;3;system;2016-09-12 03:54:42;Walter Cole;2016-02-24 16:23:54;false
53;Andrea Robinson;Friend;1-(859)492-2273;1-(817)502-0588;kramirez1g@cargocollective.com;52291 Karstens Alley;pretium nisl ut volutpat sapien arcu sed augue aliquam;ACT;Corben;Lexington;Kentucky;40524;110;2;system;2016-03-06 16:07:21;Kelly Ramirez;2016-06-27 18:48:22;false
54;Linda Gray;Grandparent;1-(520)765-9118;1-(951)639-5893;pperkins1h@studiopress.com;538 3rd Trail;eget orci vehicula condimentum;ACT;Memorial;Tucson;Arizona;85737;95;2;system;2016-08-14 09:44:03;Peter Perkins;2016-07-09 19:14:11;false
55;Margaret Fernandez;Guardian;1-(505)569-8469;1-(361)961-3092;areid1i@friendfeed.com;16399 Pennsylvania Park;sapien sapien non mi integer ac neque;ACT;Barnett;Albuquerque;New Mexico;87180;173;3;system;2016-01-21 16:15:11;Anna Reid;2016-02-16 16:39:46;false
56;Lois Powell;Other;1-(585)784-9667;1-(608)906-8673;kmontgomery1j@comsenz.com;97208 Kings Pass;mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus;ACT;Texas;Rochester;New York;14646;145;1;system;2016-05-26 04:34:34;Karen Montgomery;2016-12-12 00:11:08;false
57;Kelly George;Parent;1-(702)269-6829;1-(915)995-1254;vhunt1k@joomla.org;0 Lakewood Gardens Plaza;urna pretium nisl ut volutpat sapien arcu sed augue;ACT;Darwin;Las Vegas;Nevada;89193;38;2;system;2016-01-16 08:07:58;Victor Hunt;2016-05-17 02:23:07;false
58;Johnny Foster;Probation Officer;1-(970)429-5400;1-(901)711-5221;kwagner1l@vk.com;72 Bellgrove Alley;neque libero convallis;ACT;Hooker;Grand Junction;Colorado;81505;270;2;system;2016-03-11 09:12:02;Keith Wagner;2016-08-23 04:28:11;false
59;Marilyn Bishop;Sponsor;1-(202)875-4707;1-(412)193-7724;jshaw1m@smh.com.au;3 Mariners Cove Center;proin at turpis a pede posuere nonummy integer non velit;ACT;Graceland;Washington;District of Columbia;20525;6;3;system;2016-03-02 13:51:55;Jeremy Shaw;2016-03-25 09:44:16;false
60;Alan Morrison;Spouse/Partner;1-(912)515-1816;1-(540)257-4002;jpierce1n@imgur.com;08062 Superior Court;nunc nisl duis bibendum;ACT;Ridge Oak;Savannah;Georgia;31410;124;4;system;2016-02-10 12:29:50;Judy Pierce;2016-02-09 12:09:04;false
61;Jerry Jacobs;Brother/Sister;1-(347)933-7585;1-(718)786-9239;jandrews1o@zdnet.com;681 Drewry Pass;quisque erat eros viverra eget congue eget semper rutrum nulla;ACT;Florence;New York City;New York;10280;211;1;system;2016-09-12 07:41:28;Jessica Andrews;2016-12-23 19:07:58;false
62;Tina Hudson;Child;1-(928)385-0513;1-(202)228-6108;fburke1p@hud.gov;15 4th Lane;sed lacus morbi sem;ACT;Dunning;Prescott;Arizona;86305;277;1;system;2016-05-13 10:02:39;Frances Burke;2016-06-17 16:46:59;false
63;Emily Larson;Friend;1-(919)380-2442;1-(717)712-2843;emontgomery1q@skyrock.com;7886 Mayer Court;curae mauris viverra diam;ACT;Oxford;Raleigh;North Carolina;27605;293;2;system;2016-10-08 23:52:24;Evelyn Montgomery;2016-01-02 00:42:13;false
64;Brian Marshall;Grandparent;1-(508)265-8485;1-(573)508-9413;msimmons1r@oaic.gov.au;482 Holy Cross Park;sit amet justo morbi ut odio cras mi pede malesuada;ACT;Stang;Worcester;Massachusetts;01610;199;1;system;2016-04-05 15:36:42;Melissa Simmons;2016-06-13 11:59:46;false
65;Phillip Harper;Guardian;1-(253)447-2542;1-(281)568-5422;hwarren1s@digg.com;030 Morning Lane;sed interdum venenatis;ACT;Golf Course;Tacoma;Washington;98481;226;3;system;2016-01-14 14:48:01;Helen Warren;2016-12-16 02:04:07;false
66;Jonathan Scott;Other;1-(304)975-1268;1-(850)270-1121;jrogers1t@google.ru;100 Lawn Center;nulla ut erat id mauris vulputate elementum nullam varius;ACT;3rd;Charleston;West Virginia;25362;198;2;system;2016-05-05 09:46:23;Jimmy Rogers;2016-05-01 23:22:10;false
67;Ryan Stevens;Parent;1-(336)680-2571;1-(504)342-2768;jhall1u@nydailynews.com;9403 Kipling Place;sit amet sem fusce;ACT;Hollow Ridge;Winston Salem;North Carolina;27116;266;2;system;2016-02-10 02:12:51;Jose Hall;2016-09-27 17:14:26;false
68;Martha Carr;Probation Officer;1-(469)216-8120;1-(786)940-0307;dgardner1v@com.com;3558 Dryden Pass;augue vel accumsan tellus nisi eu orci;ACT;Maywood;Dallas;Texas;75342;137;4;system;2016-01-28 09:59:47;Diana Gardner;2016-04-02 03:31:42;false
69;Lisa Phillips;Sponsor;1-(319)583-4431;1-(540)859-5986;dhoward1w@wiley.com;791 Oak Street;turpis sed ante vivamus tortor;ACT;Superior;Waterloo;Iowa;50706;31;3;system;2016-05-06 15:28:55;Donna Howard;2016-06-02 15:51:49;false
70;Gregory Adams;Spouse/Partner;1-(480)607-8566;1-(540)149-2338;rwillis1x@bloomberg.com;290 Center Parkway;potenti nullam porttitor lacus at turpis donec posuere metus;ACT;Fisk;Phoenix;Arizona;85020;240;1;system;2016-09-07 16:13:46;Russell Willis;2016-12-07 03:26:28;false
71;Rachel James;Brother/Sister;1-(202)208-4281;1-(651)567-9021;dellis1y@guardian.co.uk;83 Springview Center;orci pede venenatis non sodales sed tincidunt eu felis fusce;ACT;Northland;Washington;District of Columbia;20299;11;2;system;2016-03-10 20:07:41;Debra Ellis;2016-06-06 03:18:32;false
72;Billy Garrett;Child;1-(410)259-8893;1-(718)523-4650;amedina1z@businesswire.com;2683 Buell Point;faucibus orci luctus et ultrices;ACT;Texas;Baltimore;Maryland;21239;36;4;system;2016-01-28 18:55:44;Anna Medina;2016-04-28 18:18:32;false
73;Jeffrey Dean;Friend;1-(401)396-9403;1-(661)154-6344;clewis20@toplist.cz;8534 Stang Plaza;pretium iaculis justo in hac habitasse;ACT;Rusk;Providence;Rhode Island;02912;210;3;system;2016-07-29 15:21:32;Clarence Lewis;2016-11-06 16:21:01;false
74;Ann Bowman;Grandparent;1-(410)657-5575;1-(605)387-8073;aadams21@ameblo.jp;932 Hanover Court;convallis tortor risus dapibus augue vel accumsan tellus;ACT;Jana;Ridgely;Maryland;21684;225;4;system;2016-07-12 15:02:06;Alan Adams;2016-09-11 14:59:13;false
75;Judy Perez;Guardian;1-(215)545-9970;1-(540)380-9362;estanley22@ocn.ne.jp;583 Kipling Street;duis ac nibh fusce lacus purus aliquet at feugiat non;ACT;Dexter;Philadelphia;Pennsylvania;19172;104;2;system;2016-03-03 20:27:00;Elizabeth Stanley;2016-07-31 07:12:58;false
76;Roy Woods;Other;1-(702)926-2875;1-(352)395-7618;ejohnston23@qq.com;7366 Rockefeller Terrace;dui nec nisi volutpat eleifend donec ut dolor morbi vel;ACT;Coolidge;Las Vegas;Nevada;89193;76;4;system;2016-01-03 02:26:45;Elizabeth Johnston;2016-07-29 05:10:31;false
77;Lisa Foster;Parent;1-(518)763-4341;1-(352)922-1966;mortiz24@friendfeed.com;8624 Transport Hill;enim lorem ipsum dolor sit amet consectetuer;ACT;Golf;Albany;New York;12232;284;3;system;2016-08-19 07:28:27;Maria Ortiz;2016-06-28 07:12:02;false
78;Matthew Black;Probation Officer;1-(609)840-8155;1-(408)133-2946;tbrown25@omniture.com;5 Arapahoe Plaza;at nibh in hac habitasse platea dictumst aliquam;ACT;Marcy;Trenton;New Jersey;08608;37;1;system;2016-04-21 15:00:35;Tina Brown;2016-05-09 13:51:00;false
79;Mark Carroll;Sponsor;1-(203)999-9636;1-(804)110-6462;aroberts26@cbc.ca;869 Harbort Court;ultrices posuere cubilia curae mauris viverra diam;ACT;Helena;Bridgeport;Connecticut;06673;189;4;system;2016-09-06 21:31:34;Alan Roberts;2016-07-18 08:38:23;false
80;Nancy Perez;Spouse/Partner;1-(314)655-1640;1-(478)672-9077;fray27@wikimedia.org;12207 Holy Cross Place;aliquet pulvinar sed nisl nunc rhoncus dui vel;ACT;Bartelt;Saint Louis;Missouri;63121;258;1;system;2016-09-09 17:28:17;Fred Ray;2016-09-15 16:24:33;false
81;Randy Thomas;Brother/Sister;1-(928)961-5085;1-(614)932-1729;roliver28@google.fr;07 Texas Terrace;velit vivamus vel nulla eget eros elementum;ACT;Dayton;Peoria;Arizona;85383;158;2;system;2016-09-23 21:56:32;Ruth Oliver;2016-09-29 22:38:31;false
82;Carolyn Greene;Child;1-(216)103-4630;1-(901)250-1821;bcruz29@craigslist.org;89597 Briar Crest Plaza;aenean auctor gravida sem praesent id;ACT;Sutteridge;Cleveland;Ohio;44111;82;3;system;2016-06-08 19:13:50;Benjamin Cruz;2016-01-07 07:44:12;false
83;Jennifer Bishop;Friend;1-(814)970-3576;1-(434)490-5675;lfernandez2a@vistaprint.com;41632 Bayside Avenue;eget tincidunt eget;ACT;Marcy;Johnstown;Pennsylvania;15906;65;2;system;2016-04-26 13:37:48;Lisa Fernandez;2016-11-12 07:22:05;false
84;Debra Rivera;Grandparent;1-(330)119-6641;1-(202)958-8309;mhoward2b@deliciousdays.com;4 Transport Alley;enim blandit mi in porttitor pede justo eu massa;ACT;Brentwood;Akron;Ohio;44315;297;3;system;2016-05-30 15:30:17;Martha Howard;2016-04-07 10:13:41;false
85;Diane Berry;Guardian;1-(702)253-6167;1-(215)309-3969;dday2c@e-recht24.de;709 Tomscot Parkway;diam id ornare imperdiet sapien urna;ACT;Lakewood Gardens;Las Vegas;Nevada;89193;177;2;system;2016-12-16 23:48:01;Doris Day;2016-11-23 01:01:35;false
86;Roger Watkins;Other;1-(614)938-8419;1-(406)731-6118;rburke2d@pinterest.com;81124 Ryan Street;nec sem duis aliquam convallis;ACT;Bay;Columbus;Ohio;43204;122;2;system;2016-04-11 19:20:03;Robert Burke;2016-04-12 05:27:03;false
87;Louise Hunter;Parent;1-(202)703-5211;1-(517)860-4422;sgarrett2e@zdnet.com;00947 Blue Bill Park Circle;quam suspendisse potenti nullam porttitor lacus;ACT;Steensland;Washington;District of Columbia;20078;39;3;system;2016-05-11 06:31:16;Susan Garrett;2016-03-03 10:30:06;false
88;Laura Foster;Probation Officer;1-(305)460-2737;1-(830)384-0832;jmoore2f@vkontakte.ru;454 Northfield Lane;vestibulum ante ipsum primis in faucibus;ACT;La Follette;Miami;Florida;33283;274;3;system;2016-12-02 20:08:08;Jeffrey Moore;2016-04-20 13:36:28;false
89;John Snyder;Sponsor;1-(508)679-3745;1-(303)536-6512;jrice2g@dailymail.co.uk;911 Packers Parkway;sagittis dui vel nisl duis ac;ACT;Jay;Boston;Massachusetts;02114;201;3;system;2016-03-02 04:55:18;Jesse Rice;2016-12-15 10:51:49;false
90;Craig Watson;Spouse/Partner;1-(949)237-8392;1-(808)140-4315;tmorrison2h@seesaa.net;1 Westridge Way;in faucibus orci;ACT;Valley Edge;Orange;California;92867;90;1;system;2016-07-28 07:44:40;Teresa Morrison;2016-08-14 19:56:35;false
91;Edward Moreno;Brother/Sister;1-(907)452-2973;1-(402)276-3120;sford2i@patch.com;05389 School Center;et tempus semper est quam pharetra magna ac consequat metus;ACT;Crowley;Fairbanks;Alaska;99709;10;3;system;2016-03-28 13:02:15;Sean Ford;2016-11-07 05:36:15;false
92;John Warren;Child;1-(520)149-4044;1-(303)766-8265;dburke2j@flickr.com;945 Anzinger Drive;metus aenean fermentum donec ut mauris eget massa tempor;ACT;Wayridge;Tucson;Arizona;85732;4;2;system;2016-08-06 19:40:57;Diana Burke;2016-04-17 05:20:06;false
93;Nancy Wheeler;Friend;1-(309)374-3994;1-(651)107-1799;dwilson2k@state.gov;37120 Roxbury Terrace;tempus vel pede morbi porttitor lorem id ligula suspendisse;ACT;Garrison;Peoria;Illinois;61605;69;3;system;2016-03-21 19:58:24;Denise Wilson;2016-07-31 01:53:54;false
94;Sharon Evans;Grandparent;1-(559)715-0026;1-(212)437-2204;jmendoza2l@gnu.org;934 Jenna Lane;ultricies eu nibh quisque id justo sit amet sapien dignissim;ACT;Lighthouse Bay;Fresno;California;93794;229;1;system;2016-07-28 06:03:54;Joan Mendoza;2016-09-13 06:15:39;false
95;Raymond Butler;Guardian;1-(720)586-9512;1-(321)895-8812;wkim2m@statcounter.com;56617 Vera Avenue;vestibulum vestibulum ante ipsum;ACT;Novick;Denver;Colorado;80299;122;3;system;2016-11-26 05:59:43;Wayne Kim;2016-11-25 20:56:56;false
96;Randy Graham;Other;1-(312)317-1483;1-(661)335-8030;ewheeler2n@wikipedia.org;2 East Center;turpis elementum ligula vehicula consequat;ACT;Pearson;Chicago;Illinois;60619;196;3;system;2016-02-20 01:13:32;Eugene Wheeler;2016-08-05 20:38:46;false
